iso_code,scenario,overshoot_year_aiaware
SVK,ambitious+AI_CONSERVATIVE,2025.0
SVK,baseline,2025.0
SVK,baseline+AI_CLEAN,2025.0
SVK,baseline+AI_CONSERVATIVE,2025.0
SVK,ndc,2025.0
SVK,ndc+AI_CLEAN,2025.0
SVK,ndc+AI_CONSERVATIVE,2025.0
SVN,ambitious,2025.0
SVN,ambitious+AI_CLEAN,2025.0
SVN,ambitious+AI_CONSERVATIVE,2025.0
SVN,baseline,2025.0
SVN,baseline+AI_CLEAN,2025.0
SVN,baseline+AI_CONSERVATIVE,2025.0
SVN,ndc,2025.0
SVN,ndc+AI_CLEAN,2025.0
SVN,ndc+AI_CONSERVATIVE,2025.0
SWE,ambitious,2025.0
SWE,ambitious+AI_CLEAN,2025.0
SWE,ambitious+AI_CONSERVATIVE,2025.0
SWE,baseline,2025.0
SWE,baseline+AI_CLEAN,2025.0
SWE,baseline+AI_CONSERVATIVE,2025.0
SWE,ndc,2025.0
SWE,ndc+AI_CLEAN,2025.0
SWE,ndc+AI_CONSERVATIVE,2025.0
THA,ambitious,2025.0
THA,ambitious+AI_CLEAN,2025.0
THA,ambitious+AI_CONSERVATIVE,2025.0
THA,baseline,2025.0
THA,baseline+AI_CLEAN,2025.0
THA,baseline+AI_CONSERVATIVE,2025.0
THA,ndc,2025.0
THA,ndc+AI_CLEAN,2025.0
THA,ndc+AI_CONSERVATIVE,2025.0
TKM,ambitious,2025.0
TKM,ambitious+AI_CLEAN,2025.0
TKM,ambitious+AI_CONSERVATIVE,2025.0
TKM,baseline,2025.0
TKM,baseline+AI_CLEAN,2025.0
TKM,baseline+AI_CONSERVATIVE,2025.0
TKM,ndc,2025.0
TKM,ndc+AI_CLEAN,2025.0
TKM,ndc+AI_CONSERVATIVE,2025.0
TTO,ambitious,2025.0
TTO,ambitious+AI_CLEAN,2025.0
TTO,ambitious+AI_CONSERVATIVE,2025.0
TTO,baseline,2025.0
TTO,baseline+AI_CLEAN,2025.0
TTO,baseline+AI_CONSERVATIVE,2025.0
TTO,ndc,2025.0
