iso_code,country,year,scenario,debt_gt,fs_gt,emissions_mt,ai_emissions_mt_eff,emissions_gt,cum_emissions_gt,cum_fs_gt
ARG,Argentina,2042,ambitious,0.8951740392746925,0.0,44.35734169479022,,,,
ARG,Argentina,2043,ambitious,0.9395313809694824,0.0,44.35734169478989,,,,
ARG,Argentina,2044,ambitious,0.9838887226642724,0.0,44.357341694789994,,,,
ARG,Argentina,2045,ambitious,1.0282460643590623,0.0,44.35734169478989,,,,
ARG,Argentina,2046,ambitious,1.0726034060538523,0.0,44.357341694789994,,,,
ARG,Argentina,2047,ambitious,1.1169607477486423,0.0,44.357341694789994,,,,
ARG,Argentina,2048,ambitious,1.1613180894434325,0.0,44.35734169479022,,,,
ARG,Argentina,2049,ambitious,1.2056754311382227,0.0,44.35734169479022,,,,
ARG,Argentina,2050,ambitious,1.2500327728330125,0.0,44.357341694789774,,,,
ARG,Argentina,2025,baseline,0.0874296263753446,0.0,87.4296263753446,,,,
ARG,Argentina,2026,baseline,0.1748592527506892,0.0,87.4296263753446,,,,
ARG,Argentina,2027,baseline,0.2622888791260339,0.0,87.42962637534468,,,,
ARG,Argentina,2028,baseline,0.3497185055013785,0.0,87.42962637534463,,,,
ARG,Argentina,2029,baseline,0.4371481318767232,0.0,87.42962637534468,,,,
ARG,Argentina,2030,baseline,0.5245777582520679,0.0,87.42962637534468,,,,
ARG,Argentina,2031,baseline,0.6120073846274123,0.0,87.42962637534445,,,,
ARG,Argentina,2032,baseline,0.6994370110027571,0.0,87.4296263753448,,,,
ARG,Argentina,2033,baseline,0.7868666373781018,0.0,87.42962637534468,,,,
ARG,Argentina,2034,baseline,0.8742962637534463,0.0,87.42962637534445,,,,
ARG,Argentina,2035,baseline,0.9617258901287908,0.0,87.42962637534457,,,,
ARG,Argentina,2036,baseline,1.0491555165041355,0.0,87.42962637534468,,,,
ARG,Argentina,2037,baseline,1.1365851428794802,0.0,87.42962637534468,,,,
ARG,Argentina,2038,baseline,1.2240147692548249,0.0,87.42962637534468,,,,
ARG,Argentina,2039,baseline,1.3114443956301696,0.0,87.42962637534468,,,,
ARG,Argentina,2040,baseline,1.398874022005514,0.0,87.42962637534445,,,,
ARG,Argentina,2041,baseline,1.4863036483808587,0.0,87.42962637534468,,,,
ARG,Argentina,2042,baseline,1.5737332747562036,0.0,87.42962637534491,,,,
ARG,Argentina,2043,baseline,1.661162901131548,0.0,87.42962637534445,,,,
ARG,Argentina,2044,baseline,1.7485925275068923,0.0,87.42962637534424,,,,
ARG,Argentina,2045,baseline,1.8360221538822377,0.0,87.42962637534535,,,,
ARG,Argentina,2046,baseline,1.9234517802575817,0.0,87.42962637534401,,,,
ARG,Argentina,2047,baseline,2.010881406632927,0.0,87.42962637534512,,,,
ARG,Argentina,2048,baseline,2.0983110330082715,0.0,87.42962637534468,,,,
ARG,Argentina,2049,baseline,2.185740659383616,0.0,87.42962637534468,,,,
ARG,Argentina,2050,baseline,2.2731702857589604,0.0,87.42962637534424,,,,
ARG,Argentina,2025,ndc,0.0874296263753446,0.0,87.4296263753446,,,,
ARG,Argentina,2026,ndc,0.1673822607506892,0.0,79.95263437534462,,,,
ARG,Argentina,2027,ndc,0.2398579031260339,0.0,72.47564237534468,,,,
ARG,Argentina,2028,ndc,0.3048565535013786,0.0,64.9986503753447,,,,
ARG,Argentina,2029,ndc,0.3623782118767232,0.0,57.52165837534462,,,,
ARG,Argentina,2030,ndc,0.4124228782520678,0.0,50.044666375344605,,,,
ARG,Argentina,2031,ndc,0.4549905526274125,0.0,42.5676743753447,,,,
ARG,Argentina,2032,ndc,0.4900812350027571,0.0,35.09068237534457,,,,
ARG,Argentina,2033,ndc,0.5176949253781017,0.0,27.613690375344614,,,,
ARG,Argentina,2034,ndc,0.5378316237534463,0.0,20.136698375344597,,,,
ARG,Argentina,2035,ndc,0.550491330128791,0.0,12.659706375344747,,,,
ARG,Argentina,2036,ndc,0.5556740445041357,0.0,5.182714375344677,,,,
ARG,Argentina,2037,ndc,0.5533797668794802,0.0,-2.294277624655505,,,,
ARG,Argentina,2038,ndc,0.5436084972548247,0.0,-9.771269624655465,,,,
ARG,Argentina,2039,ndc,0.5263602356301693,0.0,-17.248261624655427,,,,
ARG,Argentina,2040,ndc,0.5016349820055139,0.0,-24.725253624655387,,,,
ARG,Argentina,2041,ndc,0.4694327363808588,0.0,-32.20224562465512,,,,
ARG,Argentina,2042,ndc,0.4297534987562035,0.0,-39.67923762465531,,,,
ARG,Argentina,2043,ndc,0.3825972691315478,0.0,-47.15622962465571,,,,
ARG,Argentina,2044,ndc,0.3279640475068925,0.0,-54.633221624655285,,,,
ARG,Argentina,2045,ndc,0.2658538338822369,0.0,-62.11021362465563,,,,
ARG,Argentina,2046,ndc,0.196266628257582,0.0,-69.58720562465487,,,,
ARG,Argentina,2047,ndc,0.1192024306329262,0.0,-77.06419762465582,,,,
ARG,Argentina,2048,ndc,0.0346612410082709,0.0,-84.54118962465529,,,,
ARG,Argentina,2049,ndc,-0.0573569406163843,0.0,-92.0181816246552,,,,
ARG,Argentina,2050,ndc,-0.1568521142410399,0.0,-99.49517362465559,,,,
AUS,Australia,2025,ambitious,0.3146133201588275,0.0,314.6133201588275,,,,
AUS,Australia,2026,ambitious,0.6100176866252905,0.0,295.40436646646305,,,,
AUS,Australia,2027,ambitious,0.8880954064984088,0.0,278.07771987311827,,,,
AUS,Australia,2028,ambitious,1.1504650354262178,0.0,262.369628927809,,,,
AUS,Australia,2029,ambitious,1.3985284550406818,0.0,248.06341961446398,,,,
AUS,Australia,2030,ambitious,1.633507895413091,0.0,234.97944037240924,,,,
AUS,Australia,2031,ambitious,1.8684873357855003,0.0,234.97944037240924,,,,
AUS,Australia,2032,ambitious,2.1034667761579096,0.0,234.97944037240924,,,,
AUS,Australia,2033,ambitious,2.3384462165303193,0.0,234.9794403724097,,,,
AUS,Australia,2034,ambitious,2.573425656902728,0.0,234.97944037240882,,,,
AUS,Australia,2035,ambitious,2.8084050972751373,0.0,234.97944037240924,,,,
AUS,Australia,2036,ambitious,3.0433845376475466,0.0,234.97944037240924,,,,
AUS,Australia,2037,ambitious,3.2783639780199554,0.0,234.97944037240882,,,,
AUS,Australia,2038,ambitious,3.513343418392365,0.0,234.9794403724097,,,,
AUS,Australia,2039,ambitious,3.748322858764774,0.0,234.97944037240882,,,,
AUS,Australia,2040,ambitious,3.9833022991371823,0.0,234.97944037240836,,,,
AUS,Australia,2041,ambitious,4.218281739509592,0.0,234.97944037241015,,,,
AUS,Australia,2042,ambitious,4.453261179882002,0.0,234.9794403724097,,,,
AUS,Australia,2043,ambitious,4.688240620254412,0.0,234.9794403724097,,,,
AUS,Australia,2044,ambitious,4.92322006062682,0.0,234.9794403724079,,,,
AUS,Australia,2045,ambitious,5.158199500999229,0.0,234.9794403724097,,,,
AUS,Australia,2046,ambitious,5.393178941371639,0.0,234.9794403724097,,,,
AUS,Australia,2047,ambitious,5.628158381744048,0.0,234.97944037240882,,,,
AUS,Australia,2048,ambitious,5.863137822116457,0.0,234.97944037240882,,,,
AUS,Australia,2049,ambitious,6.098117262488866,0.0,234.9794403724097,,,,
AUS,Australia,2050,ambitious,6.333096702861275,0.0,234.97944037240882,,,,
AUS,Australia,2025,baseline,0.3360289300563578,0.0,336.0289300563578,,,,
AUS,Australia,2026,baseline,0.6720578601127157,0.0,336.0289300563579,,,,
AUS,Australia,2027,baseline,1.0080867901690735,0.0,336.0289300563578,,,,
AUS,Australia,2028,baseline,1.3441157202254317,0.0,336.02893005635815,,,,
AUS,Australia,2029,baseline,1.6801446502817896,0.0,336.0289300563579,,,,
AUS,Australia,2030,baseline,2.016173580338147,0.0,336.02893005635747,,,,
AUS,Australia,2031,baseline,2.352202510394505,0.0,336.0289300563579,,,,
AUS,Australia,2032,baseline,2.688231440450863,0.0,336.0289300563579,,,,
AUS,Australia,2033,baseline,3.0242603705072213,0.0,336.0289300563584,,,,
AUS,Australia,2034,baseline,3.360289300563579,0.0,336.0289300563579,,,,
AUS,Australia,2035,baseline,3.696318230619937,0.0,336.0289300563579,,,,
AUS,Australia,2036,baseline,4.032347160676294,0.0,336.028930056357,,,,
