iso_code,country,year,scenario,debt_gt
ARG,Argentina,2033,ndc,0.5176949253781017
ARG,Argentina,2034,ndc,0.5378316237534463
ARG,Argentina,2035,ndc,0.550491330128791
ARG,Argentina,2036,ndc,0.5556740445041357
ARG,Argentina,2037,ndc,0.5533797668794802
ARG,Argentina,2038,ndc,0.5436084972548247
ARG,Argentina,2039,ndc,0.5263602356301693
ARG,Argentina,2040,ndc,0.5016349820055139
ARG,Argentina,2041,ndc,0.4694327363808588
ARG,Argentina,2042,ndc,0.4297534987562035
ARG,Argentina,2043,ndc,0.3825972691315478
ARG,Argentina,2044,ndc,0.32796404750689256
ARG,Argentina,2045,ndc,0.26585383388223693
ARG,Argentina,2046,ndc,0.196266628257582
ARG,Argentina,2047,ndc,0.11920243063292624
ARG,Argentina,2048,ndc,0.03466124100827095
ARG,Argentina,2049,ndc,-0.0573569406163843
ARG,Argentina,2050,ndc,-0.15685211424103995
AUS,Australia,2025,ambitious,0.3146133201588275
AUS,Australia,2026,ambitious,0.6100176866252905
AUS,Australia,2027,ambitious,0.8880954064984088
AUS,Australia,2028,ambitious,1.1504650354262178
AUS,Australia,2029,ambitious,1.3985284550406818
AUS,Australia,2030,ambitious,1.633507895413091
AUS,Australia,2031,ambitious,1.8684873357855003
AUS,Australia,2032,ambitious,2.1034667761579096
AUS,Australia,2033,ambitious,2.3384462165303193
AUS,Australia,2034,ambitious,2.573425656902728
AUS,Australia,2035,ambitious,2.8084050972751373
AUS,Australia,2036,ambitious,3.0433845376475466
AUS,Australia,2037,ambitious,3.2783639780199554
AUS,Australia,2038,ambitious,3.513343418392365
AUS,Australia,2039,ambitious,3.748322858764774
AUS,Australia,2040,ambitious,3.9833022991371827
AUS,Australia,2041,ambitious,4.218281739509592
AUS,Australia,2042,ambitious,4.453261179882002
AUS,Australia,2043,ambitious,4.688240620254412
AUS,Australia,2044,ambitious,4.92322006062682
AUS,Australia,2045,ambitious,5.158199500999229
AUS,Australia,2046,ambitious,5.393178941371639
AUS,Australia,2047,ambitious,5.628158381744048
AUS,Australia,2048,ambitious,5.863137822116457
AUS,Australia,2049,ambitious,6.098117262488866
AUS,Australia,2050,ambitious,6.333096702861275
AUS,Australia,2025,baseline,0.33602893005635787
AUS,Australia,2026,baseline,0.6720578601127157
AUS,Australia,2027,baseline,1.0080867901690735
AUS,Australia,2028,baseline,1.3441157202254315
