iso_code,country,year,cum_emissions_gt,cum_fair_share_gt,carbon_debt_gt,debt_t_per_capita,pct_of_fair_share_used,overshoot_year,pledge_year,pledge_type,scope,source_url,pledge_gap_years
LVA,Latvia,2023,0.298075,0.3777748043460973,-0.0796998043460973,-42.451205945365835,78.902826914555,1990.0,,,,,
MAR,Morocco,2023,1.566958,5.400548774471085,-3.833590774471085,-101.65303987287732,29.014792115333936,,,Non-GHG target and Actions,Not Applicable,"<a href=""http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/moroccocphaccord_app2.pdf"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;View the submission</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007348"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;Document FCCC/SBI/2013/INF.12/Rev.3</a>",
MEX,Mexico,2023,14.502648,18.746198455006116,-4.243550455006117,-32.70817278923816,77.36314130466869,,2020.0,GHG target and Actions,Not Specified,"<a href=""http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/mexicocphaccord_app2.pdf"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;View the submission</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007348"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;Document FCCC/SBI/2013/INF.12/Rev.3</a>",
MKD,North Macedonia,2023,0.2758569999999999,0.3371167717733438,-0.0612597717733438,-33.515283690121905,81.82832273485015,1990.0,,Actions,Not Applicable,"<a href=""http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/macedoniacphaccord_app2.pdf"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;View the submission</a>; <a href=""http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/macedoniacphaccord.pdf"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;View the submission</a>; <a href="" http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/macedoniacphaccord_app2_3.pdf"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;View the submission</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007348"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;Document FCCC/SBI/2013/INF.12/Rev.3</a>",
MYS,Malaysia,2023,6.0017879999999995,4.6481174116992126,1.353670588300787,38.53724034057864,129.12298611247698,2000.0,,,,,
NLD,Netherlands,2023,5.645161,2.828633625255465,2.8165273747445347,157.54930589448708,199.5720106555038,1990.0,,,,,
NOR,Norway,2023,1.426981,0.8304369965299101,0.59654400347009,108.07751502557797,171.83495026869315,1990.0,2020.0,GHG target,All Sectors including LULUCF: All IPCC sectors ,"<a href=""http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/norwaycphaccord_app1.pdf"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;View the submission</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007854#beg"" target=""_blank""><i class=""fa fa-link""></i>&nbsp; Document FCCC/SBSTA/2014/INF.6</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600008156"" target=""_blank""><i class=""fa fa-link""></i>&nbsp; Document FCCC/TP/2014/8</a>",30.0
NZL,New Zealand,2023,1.125731,0.7354869673242389,0.3902440326757611,74.40305675419658,153.05927229349834,1990.0,2020.0,GHG target,"All Sectors including LULUCF: Energy, IPPU, agriculture, LULUCF, waste","<a href=""http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/newzealandcphaccord_app1.pdf"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;View the submission</a>; <a href=""http://unfccc.int/files/documentation/submissions_from_parties/application/pdf/13-1620.pdf"" target=""_blank""><i class=""fa fa-link""></i>&nbsp; Latest Submission</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007854#beg"" target=""_blank""><i class=""fa fa-link""></i>&nbsp; Document FCCC/SBSTA/2014/INF.6</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600008156"" target=""_blank""><i class=""fa fa-link""></i>&nbsp; Document FCCC/TP/2014/8</a>",30.0
OMN,Oman,2023,1.448285,0.5360773385319572,0.9122076614680428,180.66133166366117,270.16344394749365,1990.0,,,,,
PAK,Pakistan,2023,4.791561,31.852032386006908,-27.06047138600691,-109.33325225469908,15.04318764320046,,,,,,
