iso_code,year,ef_kg_per_kwh
BEN,2010,0.63636
BEN,2011,0.7
BEN,2012,0.6
BEN,2013,0.61539
BEN,2014,0.64706
BEN,2015,0.625
BEN,2016,0.66667
BEN,2017,0.625
BEN,2018,0.63158
BEN,2019,0.61111
BEN,2020,0.59596
BEN,2021,0.5840700000000001
BEN,2022,0.59596
BEN,2023,0.59
BMU,2000,0.65
BMU,2001,0.63934
BMU,2002,0.64063
BMU,2003,0.65152
BMU,2004,0.65152
BMU,2005,0.6521699999999999
BMU,2006,0.64789
BMU,2007,0.6438400000000001
BMU,2008,0.65278
BMU,2009,0.64865
BMU,2010,0.64865
BMU,2011,0.6438400000000001
BMU,2012,0.64286
BMU,2013,0.64706
BMU,2014,0.65152
BMU,2015,0.64179
BMU,2016,0.65152
BMU,2017,0.64179
BMU,2018,0.64063
BMU,2019,0.63934
BMU,2020,0.64407
BMU,2021,0.64407
BMU,2022,0.65079
BMU,2023,0.64063
BTN,2000,0.022350000000000002
BTN,2001,0.02604
BTN,2002,0.022940000000000002
BTN,2003,0.024
BTN,2004,0.02575
BTN,2005,0.0229
BTN,2006,0.02461
BTN,2007,0.02311
BTN,2008,0.023219999999999998
BTN,2009,0.02309
BTN,2010,0.023420000000000003
BTN,2011,0.024390000000000002
BTN,2012,0.023739999999999997
BTN,2013,0.023899999999999998
BTN,2014,0.023780000000000003
BTN,2015,0.023289999999999998
BTN,2016,0.02411
BTN,2017,0.023530000000000002
BTN,2018,0.023219999999999998
BTN,2019,0.02428
BTN,2020,0.02375
BTN,2021,0.024030000000000003
BTN,2022,0.02414
BTN,2023,0.02419
BOL,2000,0.36856
BOL,2001,0.34596
BOL,2002,0.35096
BOL,2003,0.40416
BOL,2004,0.39073
BOL,2005,0.44376
BOL,2006,0.424
BOL,2007,0.42463
BOL,2008,0.45100999999999997
BOL,2009,0.46538
BOL,2010,0.49474
BOL,2011,0.49365
BOL,2012,0.5047200000000001
BOL,2013,0.49551999999999996
BOL,2014,0.53012
BOL,2015,0.52667
BOL,2016,0.58817
BOL,2017,0.55475
BOL,2018,0.5239
BOL,2019,0.4783
BOL,2020,0.48393
BOL,2021,0.46734
BOL,2022,0.48586
BOL,2023,0.48911
BOL,2024,0.46802
BIH,2000,0.51774
BIH,2001,0.5174
BIH,2002,0.5152899999999999
BIH,2003,0.6016
BIH,2004,0.5341699999999999
BIH,2005,0.52698
BIH,2006,0.56283
BIH,2007,0.65959
BIH,2008,0.67144
BIH,2009,0.60078
BIH,2010,0.53101
BIH,2011,0.70869
BIH,2012,0.7002200000000001
BIH,2013,0.58493
BIH,2014,0.65355
BIH,2015,0.66403
BIH,2016,0.68549
BIH,2017,0.76601
BIH,2018,0.66072
BIH,2019,0.6372000000000001
BIH,2020,0.71114
BIH,2021,0.61597
BIH,2022,0.6831799999999999
BIH,2023,0.61233
BIH,2024,0.63852
BWA,2000,0.85088
BWA,2001,0.84956
BWA,2002,0.85217
BWA,2003,0.85577
BWA,2004,0.84536
BWA,2005,0.85849
BWA,2006,0.8585900000000001
BWA,2007,0.85542
BWA,2008,0.85714
BWA,2009,0.85484
BWA,2010,0.8490599999999999
BWA,2011,0.85417
BWA,2012,0.8
BWA,2013,0.82609
BWA,2014,0.85281
BWA,2015,0.84849
BWA,2016,0.8587400000000001
BWA,2017,0.85762
BWA,2018,0.8553099999999999
BWA,2019,0.8525900000000001
BWA,2020,0.84862
BWA,2021,0.84739
BWA,2022,0.84766
BWA,2023,0.84942
BRA,2000,0.08945
BRA,2001,0.10574
BRA,2002,0.0973
BRA,2003,0.09067
BRA,2004,0.10178
BRA,2005,0.09889
BRA,2006,0.09595999999999999
BRA,2007,0.09090999999999999
BRA,2008,0.11363
BRA,2009,0.08737
BRA,2010,0.11415
BRA,2011,0.09976
BRA,2012,0.12834
BRA,2013,0.16784000000000002
BRA,2014,0.19294
BRA,2015,0.18863999999999997
BRA,2016,0.14965
BRA,2017,0.15588
BRA,2018,0.13695
BRA,2019,0.14193
BRA,2020,0.13336
BRA,2021,0.16807
BRA,2022,0.10339
BRA,2023,0.09626
BRA,2024,0.10606
BRN,2000,0.90158
BRN,2001,0.9031
BRN,2002,0.90406
BRN,2003,0.90313
BRN,2004,0.9018400000000001
BRN,2005,0.9018400000000001
BRN,2006,0.90303
BRN,2007,0.90266
BRN,2008,0.90351
BRN,2009,0.90332
BRN,2010,0.90238
BRN,2011,0.90349
BRN,2012,0.90331
BRN,2013,0.90455
BRN,2014,0.90444
BRN,2015,0.90238
BRN,2016,0.90164
BRN,2017,0.90144
BRN,2018,0.9023300000000001
BRN,2019,0.89655
BRN,2020,0.89547
BRN,2021,0.89474
BRN,2022,0.89286
BRN,2023,0.89267
BGR,2000,0.45824000000000004
BGR,2001,0.48435
BGR,2002,0.44462999999999997
